City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bishoftu,8.75,38.9833,19.63,40,100,1.14,ET,Sat Jun 10 11:22:53 2023
1,port-aux-francais,-49.35,70.2167,3.94,57,76,10.39,TF,Sat Jun 10 11:22:53 2023
2,odlabari,26.8333,88.6167,25.92,85,16,1.6,IN,Sat Jun 10 11:19:22 2023
3,paradip garh,20.3167,86.6167,32.21,49,100,4.35,IN,Sat Jun 10 11:22:54 2023
4,west island,-12.1568,96.8225,25.99,83,40,8.82,CC,Sat Jun 10 11:22:54 2023
5,lihue,21.9789,-159.3672,21.92,84,100,4.62,US,Sat Jun 10 11:22:54 2023
6,hawaiian paradise park,19.5933,-154.9731,21.13,92,40,2.57,US,Sat Jun 10 11:22:54 2023
7,adamstown,-25.066,-130.1015,20.63,56,76,7.1,PN,Sat Jun 10 11:22:54 2023
8,ushuaia,-54.8,-68.3,4.81,75,40,10.8,AR,Sat Jun 10 11:22:54 2023
9,hermanus,-34.4187,19.2345,16.56,74,77,1.4,ZA,Sat Jun 10 11:22:54 2023
10,revda,56.801,59.9303,14.85,92,77,2.99,RU,Sat Jun 10 11:22:54 2023
11,cabedelo,-6.9811,-34.8339,30.37,68,12,5.83,BR,Sat Jun 10 11:22:54 2023
12,port lincoln,-34.7333,135.8667,14.01,66,90,4.24,AU,Sat Jun 10 11:22:54 2023
13,broome,42.2506,-75.833,17.83,86,100,2.68,US,Sat Jun 10 11:22:55 2023
14,georgetown,5.4112,100.3354,29.96,81,20,2.06,MY,Sat Jun 10 11:19:26 2023
15,guateque,5.0062,-73.4727,23.12,60,7,2.18,CO,Sat Jun 10 11:22:55 2023
16,tiksi,71.6872,128.8694,3.72,75,22,4.85,RU,Sat Jun 10 11:22:55 2023
17,broken hill,-31.95,141.4333,10.38,63,0,3.16,AU,Sat Jun 10 11:19:38 2023
18,greymouth,-42.4667,171.2,4.65,78,76,2.77,NZ,Sat Jun 10 11:22:55 2023
19,utrik,11.2278,169.8474,27.59,84,100,7.86,MH,Sat Jun 10 11:22:55 2023
20,coquimbo,-29.9533,-71.3436,13.85,100,100,1.54,CL,Sat Jun 10 11:22:55 2023
21,bilibino,68.0546,166.4372,13.17,48,20,0.79,RU,Sat Jun 10 11:22:55 2023
22,iquique,-20.2208,-70.1431,20.02,62,0,1.96,CL,Sat Jun 10 11:13:59 2023
23,pisco,-13.7,-76.2167,21.03,73,100,3.6,PE,Sat Jun 10 11:22:56 2023
24,atafu village,-8.5421,-172.5159,28.69,78,62,7.56,TK,Sat Jun 10 11:22:56 2023
25,dolores,-36.3132,-57.6792,11.37,42,97,5.61,AR,Sat Jun 10 11:22:56 2023
26,usogorsk,63.4106,48.6872,7.06,63,96,4.96,RU,Sat Jun 10 11:22:56 2023
27,uzgen,40.7699,73.3007,26.16,47,0,2.47,KG,Sat Jun 10 11:22:56 2023
28,waitangi,-43.9535,-176.5597,11.57,91,27,6.23,NZ,Sat Jun 10 11:22:57 2023
29,wailua homesteads,22.0669,-159.378,21.59,91,100,4.2,US,Sat Jun 10 11:22:57 2023
30,vorgashor,67.5833,63.95,9.18,78,100,6.1,RU,Sat Jun 10 11:22:57 2023
31,nemuro,43.3236,145.575,9.53,96,99,0.99,JP,Sat Jun 10 11:22:57 2023
32,blackmans bay,-43.0167,147.3167,11.07,78,58,3.19,AU,Sat Jun 10 11:22:57 2023
33,flying fish cove,-10.4217,105.6791,24.82,88,100,4.63,CX,Sat Jun 10 11:22:57 2023
34,talnakh,69.4865,88.3972,5.67,56,5,3.53,RU,Sat Jun 10 11:22:57 2023
35,kapuskasing,49.4169,-82.4331,9.05,76,100,6.17,CA,Sat Jun 10 11:22:57 2023
36,shimoda,34.6667,138.95,20.61,93,100,1.67,JP,Sat Jun 10 11:22:57 2023
37,arraial do cabo,-22.9661,-42.0278,28.98,54,0,2.06,BR,Sat Jun 10 11:22:58 2023
38,vrede,-27.4257,29.1659,11.39,27,0,1.6,ZA,Sat Jun 10 11:22:58 2023
39,pitomaca,45.9506,17.2294,22.56,74,99,2.65,HR,Sat Jun 10 11:22:58 2023
40,whitehorse,60.7161,-135.0538,10.61,61,20,5.14,CA,Sat Jun 10 11:22:58 2023
41,khandyga,62.6667,135.6,12.25,60,100,1.4,RU,Sat Jun 10 11:22:58 2023
42,anuradhapura,8.3565,80.4173,27.29,77,100,5.58,LK,Sat Jun 10 11:22:58 2023
43,anadyr,64.75,177.4833,3.28,74,0,0.0,RU,Sat Jun 10 11:22:58 2023
44,yeppoon,-23.1333,150.7333,14.88,85,0,3.9,AU,Sat Jun 10 11:22:58 2023
45,neiafu,-18.65,-173.9833,22.38,94,75,3.6,TO,Sat Jun 10 11:22:58 2023
46,san severino marche,43.2281,13.1802,21.31,83,87,0.92,IT,Sat Jun 10 11:22:59 2023
47,grytviken,-54.2811,-36.5092,1.89,99,100,4.77,GS,Sat Jun 10 11:22:59 2023
48,balikpapan,-1.2675,116.8289,28.55,84,40,1.54,ID,Sat Jun 10 11:22:59 2023
49,iskateley,67.6803,53.1512,5.8,59,100,9.15,RU,Sat Jun 10 11:22:59 2023
50,kiunga,-6.1219,141.2906,22.27,99,99,0.94,PG,Sat Jun 10 11:22:59 2023
51,tura,25.5198,90.2201,24.4,92,100,1.58,IN,Sat Jun 10 11:18:59 2023
52,bozhou,33.8772,115.7703,26.01,28,16,2.88,CN,Sat Jun 10 11:22:59 2023
53,umluj,25.0213,37.2685,32.97,44,0,4.21,SA,Sat Jun 10 11:22:59 2023
54,peniche,39.3558,-9.3811,23.38,81,97,5.14,PT,Sat Jun 10 11:20:25 2023
55,marseillan,43.3562,3.528,30.55,73,37,6.17,FR,Sat Jun 10 11:22:59 2023
56,dingwall,57.5953,-4.4272,22.16,66,77,3.92,GB,Sat Jun 10 11:22:59 2023
57,bethel,41.3712,-73.414,21.75,62,0,4.12,US,Sat Jun 10 11:18:15 2023
58,east london,-33.0153,27.9116,17.66,58,2,2.92,ZA,Sat Jun 10 11:20:48 2023
59,dhidhdhoo,6.8833,73.1,29.06,79,83,7.22,MV,Sat Jun 10 11:23:00 2023
60,puerto natales,-51.7236,-72.4875,4.25,60,40,7.2,CL,Sat Jun 10 11:21:30 2023
61,albany,42.6001,-73.9662,19.59,65,19,2.92,US,Sat Jun 10 11:20:21 2023
62,herceg novi,42.4531,18.5375,24.49,69,20,2.06,ME,Sat Jun 10 11:20:07 2023
